Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
19‑Mar‑2025,Miami Masters,Hard,R64,35,21,(20)Tomas Machac [CZE] d. Arnaldi,6-2 1-6 6-3,,0.9,8.10%,4.10%,60.80%,64.40%,51.70%,2/5,1:44
19‑Mar‑2025,Miami Masters,Hard,R128,35,421,Arnaldi d. (WC)Yibing Wu [CHN],7-6(3) 4-6 6-3,,1.32,17.60%,3.30%,54.90%,82.00%,58.50%,0/2,2:30
5‑Mar‑2025,Indian Wells Masters,Hard,R32,35,33,(32)Brandon Nakashima [USA] d. Arnaldi,6-2 6-4,(ch),0.41,3.60%,8.90%,57.10%,71.90%,37.50%,3/6,1:14
5‑Mar‑2025,Indian Wells Masters,Hard,R64,35,8,Arnaldi d. (7)Andrey Rublev [RUS],6-4 7-5,(ch),1.15,0.00%,0.00%,42.90%,56.70%,55.00%,7/11,1:47
5‑Mar‑2025,Indian Wells Masters,Hard,R128,35,94,Arnaldi d. Aleksandar Kovacevic [USA],6-3 5-7 6-4,,1.01,6.60%,5.70%,57.50%,67.20%,53.30%,12/15,2:29
24‑Feb‑2025,Acapulco,Hard,R32,33,2,(1)Alexander Zverev [GER] d. Arnaldi,6-7(2) 6-3 6-4,,1.02,7.00%,1.20%,64.00%,78.20%,61.30%,2/4,2:44
10‑Feb‑2025,Delray Beach,Hard,SF,38,60,(8)Alejandro Davidovich Fokina [ESP] d. (4)Arnaldi,6-4 6-4,,0.89,6.30%,3.20%,49.20%,64.50%,46.90%,2/6,1:42
10‑Feb‑2025,Delray Beach,Hard,QF,38,43,(4)Arnaldi d. (6)Brandon Nakashima [USA],7-6(2) 6-4,,1.76,13.30%,0.00%,56.70%,79.40%,80.80%,1/1,1:42
10‑Feb‑2025,Delray Beach,Hard,R16,38,82,(4)Arnaldi d. (WC)Learner Tien [USA],7-6(4) 4-6 7-6(1),,1.01,20.20%,1.70%,64.70%,77.90%,40.50%,10/14,2:49
3‑Feb‑2025,Dallas,Hard,QF,39,64,Jaume Munar [ESP] d. (8)Arnaldi,6-4 3-6 6-3,,0.91,4.40%,4.40%,64.40%,77.60%,50.00%,3/5,2:16
3‑Feb‑2025,Dallas,Hard,R16,39,59,(8)Arnaldi d. Alejandro Davidovich Fokina [ESP],6-1 6-3,,1.63,4.00%,0.00%,62.00%,80.60%,52.60%,2/2,1:07
3‑Feb‑2025,Dallas,Hard,R32,39,104,(8)Arnaldi d. (Q)Christopher Eubanks [USA],6-3 6-4,,1.19,8.10%,6.50%,61.30%,76.30%,62.50%,2/2,1:19
13‑Jan‑2025,Australian Open,Hard,R128,39,15,(16)Lorenzo Musetti [ITA] d. Arnaldi,7-6(4) 4-6 7-6(5) 6-3,(ch),0.91,3.80%,7.10%,52.50%,62.50%,46.00%,19/28,4:06
30‑Dec‑2024,Brisbane,Hard,R16,37,293,(PR)Reilly Opelka [USA] d. Arnaldi,7-6(9) 7-6(4),,1.05,10.70%,2.70%,53.30%,85.00%,60.00%,1/2,1:56
30‑Dec‑2024,Brisbane,Hard,R32,37,24,Arnaldi d. (7)Alexei Popyrin [AUS],6-3 6-2,(ch),1.4,13.00%,5.60%,44.40%,70.80%,70.00%,2/2,1:09
28‑Oct‑2024,Paris Masters,Hard,R64,38,13,(13)Holger Rune [DEN] d. Arnaldi,6-4 6-4,,0.97,7.00%,8.80%,43.90%,88.00%,50.00%,1/3,1:29
21‑Oct‑2024,Basel,Hard,R32,37,54,(LL)David Goffin [BEL] d. Arnaldi,6-7(5) 6-3 6-2,,0.79,10.10%,4.00%,59.60%,62.70%,50.00%,5/10,2:30
2‑Oct‑2024,Shanghai Masters,Hard,R32,36,5,(5)Daniil Medvedev [RUS] d. (29)Arnaldi,5-7 6-4 6-4,,0.99,8.50%,1.90%,72.60%,63.60%,51.70%,8/12,2:44
2‑Oct‑2024,Shanghai Masters,Hard,R64,36,131,(29)Arnaldi d. (Q)Zachary Svajda [USA],6-7(2) 6-2 6-4,,1.28,11.10%,3.00%,55.60%,81.80%,52.30%,4/5,2:35
25‑Sep‑2024,Tokyo,Hard,R32,33,13,(5)Tommy Paul [USA] d. Arnaldi,6-3 6-2,,0.44,0.00%,3.70%,61.10%,48.50%,52.40%,2/6,1:08
11‑Sep‑2024,Davis Cup Finals RR: ITA vs BRA,Hard,RR,33,76,Arnaldi d. Thiago Monteiro [BRA],7-5 6-7(4) 7-6(5),,0.87,6.10%,1.50%,61.80%,67.90%,60.00%,3/4,3:39
26‑Aug‑2024,US Open,Hard,R32,30,32,Jordan Thompson [AUS] d. (30)Arnaldi,7-5 6-2 7-6(5),,0.58,5.00%,8.90%,49.50%,80.00%,37.30%,2/6,2:33
26‑Aug‑2024,US Open,Hard,R64,30,57,(30)Arnaldi d. Roman Safiullin [RUS],6-2 6-4 6-4,,1.38,8.10%,3.50%,65.10%,75.00%,56.70%,2/3,2:04
26‑Aug‑2024,US Open,Hard,R128,30,102,(30)Arnaldi d. (WC)Zachary Svajda [USA],6-3 6-2 6-1,,1.43,13.50%,6.70%,55.10%,83.70%,40.00%,8/9,1:44
12‑Aug‑2024,Cincinnati Masters,Hard,R64,29,37,Tomas Martin Etcheverry [ARG] d. Arnaldi,6-3 6-7(3) 6-2,,0.83,10.20%,9.10%,50.00%,68.20%,40.90%,5/12,2:34
5‑Aug‑2024,Canada Masters,Hard,SF,46,8,(5)Andrey Rublev [RUS] d. Arnaldi,6-4 6-2,(ch),0.65,3.80%,1.90%,49.10%,65.40%,51.90%,0/3,1:18
5‑Aug‑2024,Canada Masters,Hard,QF,46,576,Arnaldi d. (PR)Kei Nishikori [JPN],6-4 7-5,(ch),1.06,6.80%,6.80%,47.90%,74.30%,44.70%,4/6,2:00
5‑Aug‑2024,Canada Masters,Hard,R16,46,42,Arnaldi d. Alejandro Davidovich Fokina [ESP],4-6 7-6(5) 3-0 RET,,1.09,4.10%,7.20%,49.50%,66.70%,51.00%,10/14,2:34
5‑Aug‑2024,Canada Masters,Hard,R32,46,22,Arnaldi d. (16)Karen Khachanov [RUS],7-5 7-5,,1.22,8.80%,2.90%,67.60%,80.40%,31.80%,3/5,1:43
5‑Aug‑2024,Canada Masters,Hard,R64,46,93,Arnaldi d. (Q)Mackenzie Mcdonald [USA],4-6 6-4 6-4,,1.01,4.00%,1.00%,46.50%,67.40%,47.20%,3/8,2:22
